0,1,1,64
20,2,1,64
40,3,1,64
41,4,1,64
60,5,1,64
61,6,1,64
62,7,1,64
63,8,1,64
80,9,1,64
81,10,1,64
82,11,1,64
83,12,1,64
84,13,1,64
85,14,1,64
86,15,1,64
87,16,1,64
100,17,1,64
101,18,1,64
102,19,1,64
103,20,1,64
104,21,1,64
105,22,1,64
106,23,1,64
107,24,1,64
108,25,1,64
109,26,1,64
110,27,1,64
111,28,1,64
112,29,1,64
113,30,1,64
114,31,1,64
115,32,1,64
120,33,1,64
121,34,1,64
122,35,1,64
123,36,1,64
124,37,1,64
125,38,1,64
126,39,1,64
127,40,1,64
128,41,1,64
129,42,1,64
130,43,1,64
131,44,1,64
132,45,1,64
133,46,1,64
134,47,1,64
135,48,1,64
136,49,1,64
137,50,1,64
138,51,1,64
139,52,1,64
140,53,1,64
141,54,1,64
142,55,1,64
143,56,1,64
144,57,1,64
145,58,1,64
146,59,1,64
147,60,1,64
148,61,1,64
149,62,1,64
150,63,1,64
151,64,1,64
152,65,1,64
153,65.0076923077,0,64
154,65.0153837052,0,64
155,65.0230741927,0,64
156,65.0307637707,0,64
157,65.0384524394,0,64
158,65.0461401992,0,64
159,65.0538270504,0,64
160,65.0615129933,0,64
161,65.0691980283,0,64
162,65.0768821555,0,64
163,65.0845653755,0,64
164,65.0922476885,0,64
165,65.0999290947,0,64
166,65.1076095947,0,64
167,65.1152891885,0,64
168,65.1229678767,0,64
169,65.1306456595,0,64
170,65.1383225371,0,64
171,65.1459985101,0,64
172,65.1536735785,0,64
173,65.1613477429,0,64
174,65.1690210035,0,64
175,65.1766933606,0,64
176,65.1843648145,0,64
177,65.1920353656,0,64
178,65.1997050141,0,64
179,65.2073737605,0,64
180,65.2150416049,0,64
181,65.2227085478,0,64
182,65.2303745895,0,64
183,65.2380397302,0,64
184,65.2457039703,0,64
185,65.2533673101,0,64
186,65.2610297499,0,64
187,65.2686912901,0,64
188,65.2763519309,0,64
189,65.2840116726,0,64
190,65.2916705157,0,64
191,65.2993284604,0,64
192,65.306985507,0,64
193,65.3146416558,0,64
194,65.3222969072,0,64
195,65.3299512614,0,64
196,65.3376047188,0,64
197,65.3452572797,0,64
198,65.3529089444,0,64
199,65.3605597133,0,64
200,65.3682095866,0,64
201,65.3758585646,0,64
202,65.3835066477,0,64
203,65.3911538362,0,64
204,65.3988001304,0,64
205,65.4064455306,0,64
206,65.4140900372,0,64
207,65.4217336503,0,64
208,65.4293763705,0,64
209,65.4370181978,0,64
210,65.4446591328,0,64
211,65.4522991757,0,64
212,65.4599383267,0,64
213,65.4675765863,0,64
214,65.4752139547,0,64
215,65.4828504322,0,64
216,65.4904860192,0,64
217,65.4981207159,0,64
218,65.5057545227,0,64
219,65.5133874399,0,64
220,65.5210194678,0,64
221,65.5286506067,0,64
222,65.5362808569,0,64
223,65.5439102187,0,64
224,65.5515386925,0,64
225,65.5591662785,0,64
226,65.5667929771,0,64
227,65.5744187885,0,64
228,65.5820437132,0,64
229,65.5896677513,0,64
230,65.5972909031,0,64
231,65.6049131691,0,64
232,65.6125345496,0,64
233,65.6201550447,0,64
234,65.6277746548,0,64
235,65.6353933803,0,64
236,65.6430112215,0,64
237,65.6506281786,0,64
238,65.6582442519,0,64
239,65.6658594419,0,64
